round	accuracy	precision	recall	f1	specificity	loss
1	0.8114	0.8132	0.9871	0.8917	0.1619	0.4630727075654652
2	0.7789	0.7864	0.9871	0.8754	0.0095	0.5609142553809324
3	0.7809	0.7857	0.9923	0.8770	0.0000	0.5608429128217618
4	0.8154	0.8126	0.9948	0.8946	0.1524	0.4631123013394673
5	0.7728	0.7863	0.9768	0.8713	0.0190	0.5880087072112282
6	0.7667	0.7838	0.9716	0.8677	0.0095	0.5668096829982429
7	0.7647	0.7822	0.9716	0.8667	0.0000	0.5834694285200214
8	0.7627	0.7841	0.9639	0.8647	0.0190	0.5756252322945893
9	0.7566	0.7803	0.9613	0.8614	0.0000	0.570019105919345
10	0.8337	0.8355	0.9820	0.9028	0.2857	0.46993515175991596
11	0.7830	0.7862	0.9948	0.8783	0.0000	0.5483708733320438
12	0.8215	0.8191	0.9923	0.8974	0.1905	0.4638420588652379
13	0.7728	0.7863	0.9768	0.8713	0.0190	0.5654970908221345
14	0.7769	0.7848	0.9871	0.8744	0.0000	0.5612104686618419
15	0.8195	0.8161	0.9948	0.8966	0.1714	0.4510533005866947
16	0.8012	0.8033	0.9897	0.8868	0.1048	0.46561119816331004
17	0.8357	0.8287	0.9974	0.9053	0.2381	0.46019315456596366
18	0.7769	0.7860	0.9845	0.8741	0.0095	0.5587571430183198
19	0.7606	0.7812	0.9665	0.8641	0.0000	0.5719563074808321
20	0.7343	0.7800	0.9227	0.8453	0.0381	0.5836241840122696
21	0.7870	0.7870	1.0000	0.8808	0.0000	0.5526972945360091
22	0.8073	0.8033	1.0000	0.8909	0.0952	0.4513529975839599
23	0.8093	0.8050	1.0000	0.8920	0.1048	0.4461142725890297
24	0.7728	0.7911	0.9665	0.8701	0.0571	0.5692593266815205
25	0.7708	0.7835	0.9794	0.8706	0.0000	0.5667402756050718
26	0.7769	0.7848	0.9871	0.8744	0.0000	0.5619602125678145
27	0.7870	0.7870	1.0000	0.8808	0.0000	0.5665923179314396
28	0.7809	0.7857	0.9923	0.8770	0.0000	0.5693653976837406
29	0.8215	0.8178	0.9948	0.8977	0.1810	0.46699281798882913
30	0.8053	0.8080	0.9871	0.8886	0.1333	0.460964676436797
31	0.7627	0.7829	0.9665	0.8651	0.0095	0.5644960993406664
32	0.7343	0.7800	0.9227	0.8453	0.0381	0.5836241840122696
33	0.8073	0.8046	0.9974	0.8907	0.1048	0.43837870724301936
34	0.8256	0.8186	1.0000	0.9002	0.1810	0.4478260398794559
35	0.8073	0.8058	0.9948	0.8904	0.1143	0.457902731381109
36	0.7769	0.7848	0.9871	0.8744	0.0000	0.5610114848273764
37	0.7647	0.7833	0.9691	0.8664	0.0095	0.5670731710246922
38	0.7647	0.7833	0.9691	0.8664	0.0095	0.5680108101184633
39	0.7769	0.7872	0.9820	0.8739	0.0190	0.5651452103549911
40	0.7525	0.7830	0.9485	0.8578	0.0286	0.582124381922564
41	0.7748	0.7856	0.9820	0.8729	0.0095	0.5588295564713712
42	0.7708	0.7859	0.9742	0.8700	0.0190	0.5659138130769684
43	0.7546	0.7811	0.9562	0.8598	0.0095	0.5729348561774702
44	0.8174	0.8130	0.9974	0.8958	0.1524	0.45998602227374297
