round	accuracy	precision	recall	f1_score	loss
1	0.8114	0.8132	0.9871	0.8917	0.4631
2	0.7931	0.7930	0.9974	0.8836	0.5028
3	0.7870	0.7870	1.0000	0.8808	0.4826
4	0.7870	0.7870	1.0000	0.8808	0.4279
5	0.7870	0.7870	1.0000	0.8808	0.4192
6	0.7890	0.7886	1.0000	0.8818	0.4153
7	0.7870	0.7870	1.0000	0.8808	0.4124
8	0.7911	0.7902	1.0000	0.8828	0.4087
9	0.7911	0.7902	1.0000	0.8828	0.4088
10	0.8032	0.8012	0.9974	0.8886	0.3735
11	0.7992	0.7979	0.9974	0.8866	0.3707
12	0.8458	0.8377	0.9974	0.9106	0.3381
13	0.8479	0.8395	0.9974	0.9117	0.3369
14	0.8560	0.8468	0.9974	0.9160	0.3331
15	0.8824	0.8716	0.9974	0.9303	0.3078
16	0.8986	0.8876	0.9974	0.9393	0.2854
17	0.9087	0.9035	0.9897	0.9446	0.2611
18	0.9108	0.9057	0.9897	0.9458	0.2616
19	0.9108	0.9057	0.9897	0.9458	0.2607
20	0.9128	0.9078	0.9897	0.9470	0.2600
21	0.9148	0.9119	0.9871	0.9480	0.2576
22	0.9209	0.9165	0.9897	0.9517	0.2345
23	0.9290	0.9233	0.9923	0.9565	0.2153
24	0.9290	0.9233	0.9923	0.9565	0.2156
25	0.9290	0.9233	0.9923	0.9565	0.2156
26	0.9290	0.9233	0.9923	0.9565	0.2161
27	0.9290	0.9233	0.9923	0.9565	0.2162
28	0.9290	0.9233	0.9923	0.9565	0.2162
29	0.9270	0.9231	0.9897	0.9552	0.2671
30	0.9290	0.9274	0.9871	0.9563	0.2540
31	0.9290	0.9274	0.9871	0.9563	0.2533
32	0.9290	0.9274	0.9871	0.9563	0.2533
33	0.9371	0.9364	0.9871	0.9611	0.2407
34	0.9371	0.9407	0.9820	0.9609	0.2366
35	0.9331	0.9361	0.9820	0.9585	0.2336
36	0.9331	0.9361	0.9820	0.9585	0.2336
37	0.9331	0.9361	0.9820	0.9585	0.2336
38	0.9331	0.9361	0.9820	0.9585	0.2336
39	0.9331	0.9361	0.9820	0.9585	0.2336
40	0.9331	0.9361	0.9820	0.9585	0.2336
41	0.9331	0.9361	0.9820	0.9585	0.2336
42	0.9331	0.9361	0.9820	0.9585	0.2336
43	0.9331	0.9361	0.9820	0.9585	0.2336
44	0.9331	0.9361	0.9820	0.9585	0.2967
45	0.9351	0.9384	0.9820	0.9597	0.2962
46	0.9351	0.9384	0.9820	0.9597	0.2962
47	0.9351	0.9384	0.9820	0.9597	0.2962
48	0.9351	0.9384	0.9820	0.9597	0.2962
49	0.9452	0.9457	0.9871	0.9660	0.2964
