client_id,total_samples,attack_samples,normal_samples,attack_ratio,normal_ratio,feature_variance_mean,feature_variance_std,outlier_count,outlier_ratio,class_imbalance_ratio
1,4966,3866,1100,0.7784937575513492,0.2215062424486508,inf,,5619,0.008839798127265404,0.28453181583031556
2,5069,3525,1544,0.69540343262971,0.30459656737028995,inf,,5577,0.008595445354113237,0.438014184397163
3,5415,3811,1604,0.7037857802400739,0.2962142197599261,inf,,7043,0.010161299630655587,0.4208869063237995
4,5202,3402,1800,0.6539792387543253,0.3460207612456747,inf,,5555,0.008342644655901576,0.5291005291005291
5,5161,3680,1481,0.7130401085061034,0.28695989149389656,inf,,6242,0.00944887134276303,0.4024456521739131
6,4967,3490,1477,0.702637406885444,0.29736259311455604,inf,,6295,0.009901285987517616,0.4232091690544412
7,5236,3910,1326,0.7467532467532467,0.2532467532467533,inf,,6654,0.009928261077158137,0.33913043478260874
8,5315,3771,1544,0.7095014111006586,0.29049858889934144,inf,,5461,0.008027104891815616,0.4094404667197029
9,5340,3570,1770,0.6685393258426966,0.3314606741573034,inf,,6413,0.009382315074906366,0.49579831932773116
10,5569,3921,1648,0.7040761357514814,0.2959238642485186,inf,,6251,0.008769247171844137,0.4203009436368273
11,5251,3969,1282,0.7558560274233479,0.2441439725766521,inf,,6434,0.009572581413064178,0.32300327538422785
12,5224,3453,1771,0.6609877488514548,0.33901225114854516,inf,,5663,0.008469025172281777,0.5128873443382566
13,5271,4118,1153,0.7812559286662872,0.21874407133371276,inf,,6185,0.009167200246632517,0.2799902865468674
