round	accuracy	precision	recall	f1_score
1	0.8114	0.8132	0.9871	0.8917
2	0.7931	0.7930	0.9974	0.8836
3	0.7870	0.7870	1.0000	0.8808
4	0.7870	0.7870	1.0000	0.8808
5	0.7870	0.7870	1.0000	0.8808
6	0.7890	0.7886	1.0000	0.8818
7	0.7870	0.7870	1.0000	0.8808
8	0.7911	0.7902	1.0000	0.8828
9	0.7911	0.7902	1.0000	0.8828
10	0.8053	0.8017	1.0000	0.8899
11	0.8032	0.8012	0.9974	0.8886
12	0.8458	0.8377	0.9974	0.9106
13	0.8479	0.8395	0.9974	0.9117
14	0.8560	0.8468	0.9974	0.9160
15	0.8824	0.8716	0.9974	0.9303
16	0.8986	0.8876	0.9974	0.9393
17	0.9087	0.9035	0.9897	0.9446
18	0.9108	0.9057	0.9897	0.9458
19	0.9108	0.9057	0.9897	0.9458
20	0.9128	0.9078	0.9897	0.9470
21	0.9148	0.9119	0.9871	0.9480
22	0.9209	0.9165	0.9897	0.9517
23	0.9290	0.9233	0.9923	0.9565
24	0.9290	0.9233	0.9923	0.9565
25	0.9290	0.9233	0.9923	0.9565
26	0.9290	0.9233	0.9923	0.9565
27	0.9290	0.9233	0.9923	0.9565
28	0.9290	0.9233	0.9923	0.9565
29	0.9270	0.9231	0.9897	0.9552
30	0.9290	0.9274	0.9871	0.9563
31	0.9290	0.9274	0.9871	0.9563
32	0.9290	0.9274	0.9871	0.9563
33	0.9371	0.9364	0.9871	0.9611
34	0.9371	0.9407	0.9820	0.9609
35	0.9331	0.9361	0.9820	0.9585
36	0.9331	0.9361	0.9820	0.9585
37	0.9331	0.9361	0.9820	0.9585
38	0.9331	0.9361	0.9820	0.9585
39	0.9331	0.9361	0.9820	0.9585
40	0.9331	0.9361	0.9820	0.9585
41	0.9331	0.9361	0.9820	0.9585
42	0.9331	0.9361	0.9820	0.9585
43	0.9331	0.9361	0.9820	0.9585
44	0.9331	0.9361	0.9820	0.9585
45	0.9351	0.9384	0.9820	0.9597
46	0.9351	0.9384	0.9820	0.9597
47	0.9351	0.9384	0.9820	0.9597
48	0.9351	0.9384	0.9820	0.9597
49	0.9452	0.9457	0.9871	0.9660
50	0.9452	0.9457	0.9871	0.9660
51	0.9452	0.9457	0.9871	0.9660
52	0.9452	0.9457	0.9871	0.9660
53	0.9351	0.9450	0.9742	0.9594
54	0.9351	0.9450	0.9742	0.9594
55	0.9351	0.9450	0.9742	0.9594
56	0.9351	0.9450	0.9742	0.9594
57	0.9351	0.9450	0.9742	0.9594
58	0.9351	0.9450	0.9742	0.9594
59	0.9351	0.9450	0.9742	0.9594
60	0.9351	0.9450	0.9742	0.9594
61	0.9351	0.9450	0.9742	0.9594
62	0.9351	0.9450	0.9742	0.9594
63	0.9351	0.9450	0.9742	0.9594
64	0.9351	0.9450	0.9742	0.9594
65	0.9351	0.9450	0.9742	0.9594
66	0.9351	0.9450	0.9742	0.9594
67	0.9351	0.9450	0.9742	0.9594
68	0.9351	0.9450	0.9742	0.9594
69	0.9351	0.9450	0.9742	0.9594
70	0.9351	0.9450	0.9742	0.9594
71	0.9351	0.9450	0.9742	0.9594
72	0.9351	0.9450	0.9742	0.9594
73	0.9351	0.9450	0.9742	0.9594
74	0.9351	0.9450	0.9742	0.9594
75	0.9351	0.9450	0.9742	0.9594
76	0.9351	0.9450	0.9742	0.9594
77	0.9351	0.9450	0.9742	0.9594
78	0.9351	0.9450	0.9742	0.9594
79	0.9351	0.9450	0.9742	0.9594
80	0.9351	0.9450	0.9742	0.9594
81	0.9391	0.9475	0.9768	0.9619
82	0.9473	0.9502	0.9845	0.9671
83	0.9473	0.9502	0.9845	0.9671
84	0.9473	0.9502	0.9845	0.9671
85	0.9473	0.9502	0.9845	0.9671
86	0.9310	0.9403	0.9742	0.9570
87	0.9310	0.9403	0.9742	0.9570
88	0.9310	0.9403	0.9742	0.9570
89	0.9310	0.9403	0.9742	0.9570
90	0.9290	0.9380	0.9742	0.9558
91	0.9290	0.9380	0.9742	0.9558
92	0.9290	0.9380	0.9742	0.9558
93	0.9290	0.9380	0.9742	0.9558
94	0.9290	0.9380	0.9742	0.9558
95	0.9290	0.9380	0.9742	0.9558
96	0.9290	0.9380	0.9742	0.9558
97	0.9290	0.9380	0.9742	0.9558
