round	accuracy	precision	recall	f1	specificity	loss
1	0.8216	0.8390	0.9536	0.8926	0.3604	0.45188916414372066
2	0.7315	0.7691	0.9356	0.8442	0.0180	0.5684772920558301
3	0.8156	0.8149	0.9871	0.8928	0.2162	0.4280596235097029
4	0.8196	0.8311	0.9639	0.8926	0.3153	0.438530986035915
5	0.7054	0.7757	0.8737	0.8218	0.1171	0.5994731496916339
6	0.7214	0.7736	0.9072	0.8351	0.0721	0.5817510059732047
7	0.6954	0.7744	0.8582	0.8142	0.1261	0.5758109149457882
8	0.7475	0.7799	0.9407	0.8528	0.0721	0.5923359533059279
9	0.7615	0.8036	0.9175	0.8568	0.2162	0.5471338834416264
10	0.7575	0.7883	0.9407	0.8578	0.1171	0.7646064949338378
11	0.7295	0.7756	0.9175	0.8406	0.0721	0.5733493612096747
12	0.7255	0.7734	0.9149	0.8383	0.0631	0.5962256725634312
13	0.6974	0.7762	0.8582	0.8152	0.1351	0.6384239666362121
14	0.7295	0.7921	0.8840	0.8356	0.1892	0.5428558453996851
15	0.7014	0.7650	0.8892	0.8224	0.0450	0.6114094041802457
16	0.7796	0.7957	0.9639	0.8718	0.1351	0.4421590880867738
17	0.7415	0.7821	0.9253	0.8477	0.0991	0.5675473892302223
18	0.8417	0.8472	0.9716	0.9052	0.3874	0.4369787775593059
19	0.6954	0.7757	0.8557	0.8137	0.1351	0.5703227653772518
20	0.6914	0.7708	0.8582	0.8122	0.1081	0.5933533538938692
21	0.8437	0.8507	0.9691	0.9060	0.4054	0.4324834693304913
22	0.7295	0.7868	0.8943	0.8372	0.1532	0.5556990039704112
23	0.7295	0.7768	0.9149	0.8402	0.0811	0.5792704092303658
24	0.7014	0.7698	0.8789	0.8207	0.0811	0.7917551889612329
25	0.7976	0.8425	0.9098	0.8748	0.4054	0.4591964344216933
26	0.7535	0.7991	0.9124	0.8520	0.1982	0.5513335263386512
27	0.7154	0.7821	0.8789	0.8277	0.1441	0.5634381511217806
28	0.7415	0.7785	0.9330	0.8488	0.0721	0.599847461513239
29	0.7134	0.7753	0.8892	0.8283	0.0991	0.5916290408877255
30	0.8216	0.8375	0.9562	0.8929	0.3514	0.4354683297950986
31	0.8277	0.8297	0.9794	0.8983	0.2973	0.43778288221943207
32	0.7074	0.7701	0.8892	0.8254	0.0721	0.590730922530337
