RESOCONTO ADDESTRAMENTO FEDERATO SMARTGRID CON 5 CLIENT
================================================================================
Rounds completati: 150
Framework: Flower Federated Learning
================================================================================

TABELLA RIASSUNTIVA METRICHE:
=======================================================================================
Round  Loss       Accuracy   Precision   Recall     F1_Score   AUC_ROC    Specificity 
---------------------------------------------------------------------------------------
1      0.768813   0.729478   0.722834    0.990443   0.819221   0.825310   0.137772  
2      0.674825   0.761058   0.752720    0.992836   0.835772   0.856466   0.162373     
3      0.611574   0.786127   0.773903    0.991162   0.835772   0.888068   0.258885   
4      0.549971   0.811199   0.793215    0.996169   0.835772   0.908211   0.333844     
5      0.504413   0.830780   0.810289    0.997274   0.835772   0.924235   0.401968    
6      0.465684   0.839003   0.818985    0.995620   0.835772   0.937479   0.432719    
7      0.448260   0.844876   0.825358    0.994747   0.835772   0.941515   0.458385    
8      0.427647   0.855059   0.834995    0.995273   0.835772   0.949279   0.493223     
9      0.419569   0.857409   0.837882    0.994101   0.835772   0.951173   0.505838     
10     0.415230   0.862893   0.843389    0.994150   0.835772   0.948791   0.524941     
11     0.401054   0.863288   0.843354    0.994682   0.835772   0.954531   0.523990     
12     0.383165   0.874646   0.856186    0.993060   0.835772   0.960421   0.564234     
13     0.393123   0.873863   0.856612    0.990878   0.835772   0.954407   0.568648     
14     0.386473   0.878567   0.862371    0.988619   0.835772   0.956080   0.590097    
15     0.378306   0.886009   0.872196    0.986124   0.835772   0.956913   0.629084     
16     0.375248   0.885221   0.871375    0.986630   0.835772   0.956154   0.620149    
17     0.362368   0.889925   0.874214    0.989092   0.835772   0.962036   0.630590     
18     0.362017   0.894625   0.880904    0.986979   0.835772   0.959949   0.655089     
19     0.355466   0.898935   0.884733    0.988263   0.835772   0.963846   0.667423     
20     0.343228   0.900890   0.885076    0.990907   0.835772   0.966186   0.669408     
21     0.345185   0.896973   0.881524    0.989745   0.835772   0.964245   0.660078     
22     0.345485   0.895407   0.881942    0.986397   0.835772   0.963501   0.661472    
23     0.339038   0.897367   0.883924    0.986503   0.835772   0.963539   0.669293     
24     0.330563   0.904024   0.889561    0.989109   0.835772   0.966896   0.685988     
25     0.338624   0.903633   0.889255    0.989123   0.835772   0.964319   0.682044     
26     0.332898   0.902847   0.888809    0.988417   0.835772   0.965361   0.682311     
27     0.333535   0.902850   0.888904    0.987761   0.835772   0.965141   0.683528     
28     0.328309   0.903237   0.889308    0.988531   0.835772   0.965958   0.685004     
29     0.330916   0.898146   0.884185    0.988010   0.835772   0.965532   0.667412     
30     0.336661   0.904418   0.893208    0.984746   0.835772   0.964046   0.697179    
31     0.322026   0.907943   0.893902    0.989158   0.835772   0.967404   0.699510    
32     0.327348   0.900107   0.884045    0.990531   0.835772   0.966871   0.665751    
33     0.320413   0.911470   0.898085    0.988533   0.835772   0.968896   0.713583    
34     0.322457   0.905982   0.891653    0.989149   0.835772   0.968304   0.693589     
35     0.321842   0.903638   0.887119    0.991973   0.835772   0.970527   0.665319     
36     0.313233   0.902068   0.888097    0.988211   0.835772   0.972091   0.682583    
37     0.314816   0.908333   0.895431    0.987707   0.835772   0.970934   0.706398     
38     0.305419   0.911469   0.899435    0.987020   0.835772   0.972985   0.719292     
39     0.314147   0.907945   0.893455    0.989722   0.835772   0.969961   0.697113     
40     0.318037   0.902848   0.887107    0.990666   0.835772   0.970546   0.675536     
41     0.314105   0.901679   0.886481    0.989603   0.835772   0.971018   0.675409     
42     0.318288   0.902852   0.886794    0.990847   0.835772   0.968355   0.678508     
43     0.312970   0.909506   0.896038    0.988622   0.835772   0.970399   0.708481     
44     0.321008   0.907161   0.895143    0.985766   0.835772   0.965307   0.704385    
45     0.318384   0.904808   0.891153    0.988083   0.835772   0.969620   0.690690     
46     0.304919   0.914215   0.900689    0.989082   0.835772   0.972360   0.723690     
47     0.319447   0.906769   0.893043    0.987881   0.835772   0.968391   0.699899    
48     0.316996   0.907553   0.895555    0.986354   0.835772   0.971270   0.702542     
